CASO 0:

					5: 101 IOP250T
					5: 105 IOP250T
					5: 101 IOP250T
					5: 105 IOP250T
					5: 105 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 104 IOP250T
					5: 103 IOP250T
					5: 100 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 104 IOP250T
					5: 103 IOP250T
					5: 100 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 103 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 102 IOP250T
					5: 100 IOP250T
7: 16 KFLOPT
					5: 109 IOP250T
					5: 104 IOP250T
					5: 105 IOP250T
					5: 103 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 96 IOP250T
					5: 98 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 100 IOP250T
					5: 94 IOP250T
					5: 104 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 104 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 100 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 100 IOP250T
					5: 103 IOP250T
					5: 105 IOP250T
					5: 103 IOP250T
					5: 100 IOP250T
					5: 104 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 101 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
7: 16 KFLOPT
					5: 111 IOP250T
					5: 106 IOP250T
					5: 100 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 99 IOP250T
					5: 100 IOP250T
					5: 105 IOP250T
					5: 105 IOP250T
					5: 104 IOP250T
					5: 108 IOP250T
					5: 106 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 104 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 105 IOP250T
					5: 104 IOP250T
					5: 106 IOP250T
					5: 107 IOP250T
					5: 104 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 97 IOP250T
					5: 104 IOP250T
					5: 105 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 105 IOP250T
					5: 100 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 104 IOP250T
					5: 102 IOP250T
7: 16 KFLOPT
					5: 108 IOP250T
					5: 102 IOP250T
					5: 100 IOP250T
					5: 105 IOP250T
					5: 101 IOP250T
					5: 105 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 105 IOP250T
					5: 107 IOP250T
					5: 104 IOP250T
					5: 106 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 108 IOP250T
					5: 99 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 99 IOP250T
					5: 100 IOP250T
					5: 103 IOP250T
					5: 107 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 100 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 100 IOP250T
					5: 104 IOP250T
					5: 105 IOP250T
					5: 103 IOP250T
					5: 103 IOP250T
					5: 100 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
7: 16 KFLOPT
					5: 107 IOP250T
					5: 106 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
8: 1 KFLOPT
					5: 104 IOP250T
					5: 100 IOP250T
					5: 103 IOP250T
					5: 103 IOP250T
					5: 104 IOP250T
					5: 102 IOP250T
					5: 99 IOP250T
					5: 96 IOP250T
					5: 98 IOP250T
					5: 99 IOP250T
					5: 102 IOP250T
					5: 100 IOP250T
					5: 104 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 104 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 105 IOP250T
					5: 103 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 105 IOP250T
					5: 102 IOP250T
					5: 105 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 105 IOP250T
					5: 100 IOP250T
7: 16 KFLOPT
					5: 114 IOP250T
					5: 105 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 100 IOP250T
					5: 101 IOP250T
					5: 104 IOP250T
					5: 105 IOP250T
					5: 104 IOP250T
					5: 106 IOP250T
					5: 108 IOP250T
					5: 98 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 104 IOP250T
					5: 104 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 101 IOP250T
					5: 101 IOP250T
					5: 105 IOP250T
					5: 104 IOP250T
					5: 103 IOP250T
					5: 102 IOP250T
					5: 101 IOP250T
					5: 111 IOP250T
					5: 105 IOP250T
7: 16 KFLOPT
					5: 115 IOP250T
					5: 102 IOP250T
					5: 103 IOP250T
					5: 103 IOP250T

/////////////////////////////////////////////////////////////////////

CASO 3:

4: 25 KFLOPT
4: 23 KFLOPT
4: 25 KFLOPT
4: 26 KFLOPT
4: 26 KFLOPT
4: 26 KFLOPT
4: 25 KFLOPT
4: 25 KFLOPT
4: 25 KFLOPT
4: 25 KFLOPT
4: 25 KFLOPT
4: 24 KFLOPT



/////////////////////////////////////////////////////////////////////7

CASO 4:

					8: 54 IOP250T
					7: 102 IOP250T
					8: 93 IOP250T
					7: 46 IOP250T
					8: 106 IOP250T
					7: 53 IOP250T
					7: 46 IOP250T
	                8: 87 IOP250T
					8: 136 IOP250T
					7: 85 IOP250T
					7: 6 IOP250T					
					8: 1120 IOP250T
					7: 50 IOP250T
	                8: 100 IOP250T
					7: 42 IOP250T
	                8: 85 IOP250T
					7: 47 IOP250T
                    7: 95 IOP250T
					7: 44 IOP250T
	                8: 88 IOP250T
					7: 42 IOP250T
                    8: 85 IOP250T
					8: 74 IOP250T
					7: 55 IOP250T
					8: 129 IOP250T
					7: 56 IOP250					
					8:: 92 IOP250T
					7: 42 IOP250T
					8: 101 IOP250T
					7: 78 IOP250T
					8: 110 IOP250T
					7: 54 IOP250T
					8: 100 IOP250T
					7: 100 IOP250T
					8: 88 IOP250T
					7: 77 IOP250T
					8: 117 IOP250T
					7: 91 IOP250T
					8: 124 IOP250T
					7: 60 IOP250T
					8: 124 IOP250T
					7: 181 IOP250T
					8:45 IOP250T					
					7: 168 IOP250T
					7: 45 IOP250T					
					8: 91 IOP250T
				 	8: 116 IOP250T
5: 15 KFLOPT
					7: 54 IOP250T
					8: 125 IOP250T
					7: 97 IOP250T
					8: 131 IOP250T
					7: 55 IOP250T
					8: 124 IOP250T
					8: 110 IOP250T
					8: 98 IOP250T
					7: 67 IOP250T
					8: 124 IOP250T
					7: 107 IOP250T
					8: 104 IOP250T
					7: 84 IOP250T
					7: 99 IOP250T
					8: 38 IOP250T
					7: 97 IOP250T
					8: 80 IOP250T
					7: 49 IOP250T
					8: 83 IOP250T
					7: 66 IOP250T
					8: 79 IOP250T
					7: 41 IOP250T
					8: 86 IOP250T
					7: 60 IOP250T
					8: 100 IOP250T
					7: 70 IOP250T
					8: 82 IOP250T
					7: 69 IOP250T
                    8: 89 IOP250T
					8: 126 IOP250T
					7: 60 IOP250T
					8: 82 IOP250T
					7: 63 IOP250T
					8: 64 IOP250T
					7: 53 IOP250T				
					8: 120 IOP250T
					8: 78 IOP250T
					7: 57 IOP250T
5: 14 KFLOPT
					8: 105 IOP250T
					7: 90 IOP250T
					8: 100 IOP250T
					7: 59 IOP250T
					8: 126 IOP250T
					7: 52  IOP250T
					8: 169 IOP250T
					8: 165 IOP250T
					7: 73 IOP250T
					8: 107 IOP250T
					7: 73  IOP250T				
					8: 112 IOP250T
					8: 51 IOP250T 
					7: 44 IOP250T
		            8: 88 IOP250T
					8: 95 IOP250T
					7: 65 IOP250T
					8: 89 IOP250T
					7: 65 IOP250T
					8: 113 IOP250T
					7: 61  IOP250T					
					8: 188 IOP250T
					7: 59  IOP250T
                    8: 118 IOP250T
					7: 62 IOP250T
					8: 60 IOP250T
					7: 49 IOP250T
                    8: 101 IOP250T
					8: 91 IOP250T
					7: 64 IOP250T
					8: 108 IOP250T
					7: 54 IOP250T
					8: 93 IOP250T
					7: 70 IOP250T
                    8: 61 IOP250T
					7: 54 IOP250T
					8: 108 IOP250T
					8: 79 IOP250T
					7: 58 IOP250T
					8: 123 IOP250T
					7: 108 IOP250T
					8: 113 IOP250T
					7: 78 IOP250T
					8: 97 IOP250T
					7: 115 IOP250T
					8: 61 IOP250T
					7: 62 IOP250T
					8: 63 IOP250T
					7: 54 IOP250T
					8: 117 IOP250T
					7: 57 IOP250T
					8: 100 IOP250T
					7: 81 IOP250T
					8: 84 IOP250T
					8: 91 IOP250T
					7: 64 IOP250T
					8: 94 IOP250T
					7: 88 IOP250T
					8: 120 IOP250T
					7: 8 IOP250T
					8: 6 IOP250T
					7: 59 IOP250T					
					8: 116 IOP250T
					7: 42 IOP250T
					8: 84 IOP250T
					7: 44 OP250T					
					8: 103 IOP250T
					7: 96 IOP250T
					8: 62 IOP250T
					7: 62 IOP250T
					8: 96 IOP250T
					7: 47 IOP250T
					7: 62 IOP250T					
					8: 115 IOP250T
					7: 60 IOP250T	
					8: 87 IOP250T
					7: 62 IOP250T
					8: 100 IOP250T
					8: 61 IOP250T
					8: 105 IOP250T
					7: 71 IOP250T
					8: 101 IOP250T
					7: 98 IOP250T
					8: 128 IOP250T
					7: 1 IOP250T
					8: 82 IOP250T
					7: 59 IOP250T
					8: 155 IOP250T
					8: 70 IOP250T
					7: 69 IOP250T
					8: 112 IOP250T
					7: 57 IOP250T
					8: 146 IOP250T
					7: 48 IOP250T
					8: 107 IOP250T
					7: 68 IOP250T
					8: 102 IOP250T
					7: 77 IOP250T
					8: 126 IOP250T
					7: 62 IOP250T
					7: 53 IOP250T
					8: 102 IOP250T
					8: 91 IOP250T
					7: 84 IOP250T
					8: 115 IOP250T
					7: 37 IOP250T
					8: 119 IOP250T
					7: 55 IOP250T
					8: 81 IOP250T
5: 14 KFLOPT
					7: 62 IOP250T
					8: 87 IOP250T
					7: 78 IOP250T
					8: 102 IOP250T
					7: 85 IOP250T
					8: 114 IOP250T
					7: 7 IOP250T
					8: 186 IOP250T
					7: 111 IOP250T
					8: 96 IOP250T
					7: 46 IOP250T
					8: 103 IOP250T	
				    7: 55 IOP250T
					7: 49 IOP250T
					8: 90 IOP250T
					7: 81 IOP250T
					8: 126 IOP250T
					7: 52 IOP250T	
					7: 63 IOP250T
					8: 88 IOP250T
					7: 61 IOP250T
					8: 118 IOP250T
					7: 59 IOP250T
					8: 107 IOP250T
					7: 106 IOP250T
					8: 92 IOP250T
					7: 88 IOP250T
					8: 103 IOP250T
					7: 40 IOP250T
					8: 127 IOP250T
					7: 53 IOP250T
					8: 123 IOP250T
					7: 43 IOP250T
					8: 125 IOP250T
					7: 107 IOP250T
					8: 89 IOP250T
					7: 61 IOP250T
					8: 62 IOP250T
					8: 85 IOP250T
5: 15 KFLOPT				
	                7: 61 IOP250T
					8: 201 IOP250T
					7: 50 IOP250T
					8: 94 IOP250T
					7: 71 IOP250T
					8: 81 IOP250T
					7: 78 IOP250T


///////////////////////////////////////////////////////////////////////////

CASO 5:


                    10: 73 IOP250T
					9: 67 IOP250T
					9: 63 IOP250T
					10: 106 IOP250T
					10: 100 IOP250T
					9: 86 IOP250T
					10: 107 IOP250T
					9: 68 IOP250T
					10: 82 IOP250T
					9: 41 IOP250T
					10: 80 IOP250T
					9: 50 IOP250T					
					10: 9 IOP250T 
					10: 123 IOP250T
					9: 77 IOP250T
					10: 85 IOP250T
					9: 60 IOP250T
					10: 104 IOP250T
					9: 89 IOP250T
					10: 150 IOP250T
					10: 62 IOP250T
					9: 39 IOP250T
					10: 105 IOP250T
